"","affini_fusion","affini_fusion_sidechem","affini_fusion_sidetarget","affini_fusion_chemtarget","side","chem","target"
"affini_fusion",1,0.650472999009441,0.630479868671888,0.736324485925211,0.224971200775392,0.458180655922025,0.540832288430378
"affini_fusion_sidechem",0.650472999009441,1,0.491725493430615,0.585122790816578,0.292270007955199,0.514917031988957,0.38850814791113
"affini_fusion_sidetarget",0.630479868671888,0.491725493430615,1,0.568599325761907,0.288451377421093,0.309370634395508,0.628705225895898
"affini_fusion_chemtarget",0.736324485925211,0.585122790816578,0.568599325761907,1,0.190789114473723,0.509559707382155,0.558596255312506
"side",0.224971200775392,0.292270007955199,0.288451377421093,0.190789114473723,1,0.162592040295161,0.181710970871105
"chem",0.458180655922025,0.514917031988957,0.309370634395508,0.509559707382155,0.162592040295161,1,0.294846330510837
"target",0.540832288430378,0.38850814791113,0.628705225895898,0.558596255312506,0.181710970871105,0.294846330510837,1
