"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"RCCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RINGS",-0.249764757609255,0,0.387736723491029,-0.482656315478814,0,1.5454410009686,0.629082240619904,0,0,-0.377115613880625,0,0,0,0.716354503510256,0,0,0.363471005736224,0,0.653039332393726,-0.847273539941884,0,0.710536352650899,0,0.457123559665581,0,0,0.564776362700697,0,0.756354290668334,0,0.411871275203917,0
"AROMATIC",0,0.388933649445951,0.230473957296859,-0.54149101533734,0,1.8274720720864,-0.214591091087111,0.366611501508427,0.576859424817416,-0.168390567033412,0,0,-0.3814904842311,0,0,0,0.751803349010052,0,-0.417873396923388,-0.8232829954946,0,0,0,0.366611501508427,0,0.27236243243888,1.08340047416893,0,-0.95582074887365,0,0,0
"Molecular_weight",-0.216606296602918,0,0,-0.285624732032326,-0.193269356318128,3.31033532672373,0,-0.216836045787813,0.0675582127497019,-0.188163929107486,-0.180558739572771,0.525468231738659,0.19764885490213,0,-0.146878759283903,-0.258960432086931,0.278470984443956,0,0,-0.24736239117314,0,0.785824649309549,0,0.171403509555218,0,-0.124369801804156,0.351181110225555,-0.142692825698152,0.238046569278846,-0.153941418678115,0.298419430935985,0
"LogP",-0.463812312313616,0.22381116304058,0.382317846799471,-0.339619063936536,0,0,0.12595631183261,-0.191210329035787,0.191888319283102,0,0.159542548720476,0.947296738034128,0.569384616707722,0.223842566624231,-0.690373301585034,-0.38237523074001,0.315973040786614,0,0.488465972888409,-0.926845852939994,0,0,0.518447026433169,0.387712484492627,0,0.192360178675775,0.575578350318174,0.342893713710546,0.317735651122754,-0.166101131078481,-0.112454320778373,0
"Number_of_HBA_1",-0.205275383180197,0,0,-0.239256331799588,0,3.68479972838135,-0.13961437495292,-0.37536003621582,-0.151196489136246,0,0,0.856884255976608,0.485778426253177,0,-0.10433856432599,-0.29878571558663,0,0,0.184295507417746,-0.303087643711865,0,1.05976318636271,0,0.207121031941053,0,0,0.145218550391613,0,0.39866438171716,-0.427656518990421,0,0
"Number_of_HBA_2",0,-0.233708320367927,0,0,-0.481949384932751,4.8048731233095,0,-0.285554077131138,0,-0.446017867294198,-0.512877779862139,0.318477475839809,-0.147536114758744,-0.408494446975455,0.515491351540011,0,0.335895785529587,0,-0.455569283375332,0,0,0.932251473213513,-0.43793589984093,0,-0.274729138905852,-0.415453335834567,0,-0.675251853241426,-0.096794216827717,-0.435220614332915,0.970138757002014,0
"Number_of_HBD_1",0,-0.427758289019023,-0.232522881743161,0,-0.287342675904364,5.71542478474734,-0.573623823190645,-0.565096299654458,0,0,-0.466102874256112,0,0,-0.314752572984965,0.509371665905117,-0.61626144087158,-0.302293528857419,0,-0.61626144087158,0.630888876295783,-0.506621852549175,1.03381436338062,-0.645779791573767,-0.317798117105032,0,0,0,-0.511605470200193,-0.208539221797635,-0.833157148205035,0,-0.581376117314451
"Number_of_HBD_2",0,-0.545180300074366,-0.399890673709233,0,-0.324877007922887,6.08879141680969,-0.504909805810117,-0.513911445704478,-0.407969068486224,-0.237508150124672,-0.647761917177158,0,0.265855610144588,-0.334521622095417,0,-0.684942603697347,0,0,-0.594926204753732,0.721563629796639,0,0.90384683765746,-0.439128591197475,-0.369885207394694,-0.216857329190549,0,0,-0.558101314276799,0,-0.859104766870863,0,-0.521276423799865
"Number_of_acidic_groups",0,-0.80518496794651,0,0,-0.924459477367014,0,0,0,-0.633919005701684,0,-0.655141092327673,0,0,0,-0.682729804941459,0,1.37952646293906,0,-0.906685236747488,4.35393454161288,0,0,0,-0.576973073255279,0,0,0,-0.85578627497339,0,-0.931028218465535,1.32664809709597,-0.711572549946781
"Number_of_aliphatic_OH_groups",0,-0.772711399485463,-0.616134808019892,0,-0.87661475972068,0,0,-0.827260663608952,-0.800685381087252,0.676587676736647,-0.718359777623291,0,2.40080568519877,0,2.10930805503887,0,-0.764446359466752,0,0,0,0,1.46153554357244,0,-0.366622433232822,0,-0.80566824656007,-0.931813419845639,-0.70555794933344,1.67206160979903,-0.887343911049316,-0.827260663608952,0
"Number_of_basic_groups",0,0,2.44034520457203,0,1.21165048865345,0,1.58025890342902,0,0,0,1.45204728089839,0,0,1.84355062826872,0,0,-0.849205648500901,0,-0.804854368648225,0,0,0,-0.744809559001525,0,0,1.98572815968216,0,2.76985878747747,0,0,0,0
"Fraction_of_rotatable_bonds",0,0,0,0.307338190071814,0,0,-0.556159721464202,-0.362699069434237,-0.253366937440965,0.461531456993727,0,0.393606837109825,0.522112684272044,-0.583547065958121,-0.306609987413731,-0.41172020210738,0,0,-0.663419135619093,0,0,-0.45457120292236,-0.271546593585257,-0.170373146345944,0,-0.21440148380081,0,0,-0.641804561784686,-0.470155059164012,0,0
"Number_of_heavy_bonds",-0.224343451772513,0,0.137028857261681,-0.313368882711745,0,3.47458170951339,0.154589148493522,-0.180812414034634,0,-0.179572864065328,-0.142790566063084,0.558300243913538,0.224830313420885,0,-0.12286345296956,-0.244907477030852,0.309239440592118,0,0.138836534300253,-0.486361481468661,0,0.908364649620281,0,0.249414721145462,0,0,0.40782703257375,0,0.340892863281331,-0.163404820987418,0.295949492909839,0
"Number_of_heterocycles",0,0,0.508949035287196,-0.581572510755497,0,2.05562179645657,0.991812726579098,0,0,-0.808274710810568,-0.362305016391672,0,-0.796291880236229,0.513260318245159,0.955597949732205,0,0.444475758324924,0,-0.712412066215852,-0.796291880236229,0,0,0,0.575342792839832,0,0,0.629664958110171,0,-0.6435107904134,0,1.55314176770593,0
"Number_of_hydrophobic_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MolarRefractivity",-0.245224163856117,0,0,-0.300240520392403,0,3.10384758071452,0,-0.229226434848368,0,0,0,0.686368997532818,0.369234986986316,0,-0.236026727090934,-0.244211602995634,0.247226285908384,0,0.190798538767986,-0.439246457740847,0,0.84789834128854,0.193360274728823,0.225446177208867,0,0,0.354097851908408,0,0.310835931901181,-0.252527154143188,0.11999095055981,0
"Number_of_atoms",-0.243430198485604,0,0,-0.269944970264249,0,3.38353217415896,0,-0.280882581124673,0,0,0,0.762890777067171,0.427327722087795,0,-0.196634515315012,-0.270351572898466,0.194995900993375,0,0.201331400594703,-0.41327239882557,0,0.945227662355225,0.164775799964622,0.230623532719701,0,0,0.269659525618351,0,0.379374023914885,-0.299459017995748,0.0922159960323998,0
"Number_of_halogen_atoms",0,0,0,0,0,0,2.5042006900934,0,0,-0.714589989042166,0,-0.70888178882301,0,-0.826715350489887,0,0,0,0,0,0,0,0,0,0,0,0,3.46891990841871,-0.558911801246984,2.03248136642698,4.3793582500096,0,0
"Number_of_B_atoms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_Br_atoms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_Cl_atoms",0,1.37650618571455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20828335071465,0,0,6.36200285792008,0,0
"Number_of_I_atoms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_F_atoms",0,0,0,0,0,0,6.02086295982233,0,0,0,0,0,0,0,0,0,-0.779063753012584,0,0,0,0,0,0,0,0,0,5.13970202154504,0,4.16438477333085,0,0,0
"Number_of_N_atoms",0.507929253102517,0,0.531066791906736,-0.380526360887615,0,0,0.409794174726004,-0.426986883821044,0,-0.446247828902689,0,0,-0.948838114626879,-0.386057375522547,0.855471042865192,0,0.748806263663049,0.790665988059239,-0.662933461071202,-0.590704917015031,-0.415292738592902,0,-0.685157628473101,0.482557745034443,0,0,0.960308029033272,-0.255827121845511,0,0,0.991902737193515,-0.255827121845511
"Number_of_O_atoms",0,-0.3277396037683,-0.377997754103866,0,-0.617036846591113,4.73599958451399,-0.185264663826191,-0.29039180397765,-0.199416394231195,-0.262564031584617,-0.588632929842116,0.466523605112856,0.212247334871514,-0.324182670454905,0,-0.474364299242704,0,0,-0.401702893549784,0.4192163920447,0,1.31805344033968,-0.399562295673396,-0.243084590909494,0,-0.597888688920668,-0.414884469946483,-0.698954098657185,0.286164855290509,-0.619485460103957,0.434985463067418,0
"Number_of_P_atoms",0,-0.784942175851179,0,-0.834347351669151,0,0,0,0,0,0,0,-0.754834080470344,0,0,0,0,-1,0,0,8.1937219823621,0,0,0,-0.863796711372413,0,0,0,0,0,0,0,0
"Number_of_S_atoms",0,0.579961053810535,0,0,-0.835059010865933,0,0,0,2.4637607718154,-0.7962493663638,-0.849401705573243,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.769082615212306,0,0,0,0,-0.54820511671973,5.00385200448003,0
"Number_of_bonds",-0.24850727905967,0,0,-0.287293398136389,0,3.38955759700866,0,-0.274055729909403,0,0,0,0.748388669772414,0.410343536772395,0.0979750900896942,-0.189508003673952,-0.273569823436785,0.211563616156131,0,0.23091542607495,-0.453355218305273,0,0.96136147672068,0.168978840854877,0.2497514475723,0,0,0.29238334703827,0,0.411710148726632,-0.286034380777844,0.112239915821537,0
"Number_of_NO2_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_SO_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_OSO_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_SO2_groups",0,0,0,0,0,0,0,0,6.81434510118745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PolarSurfaceArea",0,-0.270247967215059,-0.270797660864327,0,-0.537545358756668,4.26995909919509,-0.16914649925637,-0.281339826795766,0,-0.3382750237072,-0.478131568279,0,-0.189248234120379,-0.471191598165959,0.310264173739708,0,0.207409576639832,0,-0.498075348905384,0,0,0.697668413018693,-0.486754463956058,-0.16361687733466,-0.290974954648572,-0.398863658226105,-0.161185959530527,-0.701870065738479,-0.160523844382943,-0.575466023118573,0.867582134902858,0
"Geometrical_diameter",-0.12474604538573,0,0.10821550787139,-0.207139230902634,0,1.08100921228828,0.20606741593781,-0.0600548931063905,0,0.136969374169287,0,0.232819884566961,0,0,0,-0.161963755498289,0.16651328795168,0,0,-0.285564880303194,0,0.383758860688329,0.219770880023788,0.0957952092116447,0,0,0.260879904826256,-0.0706809558183249,0,-0.15243114462623,0,0
