cid,MF,MW,Ncharges,C,H,N,O,Cl,P,S,F,Br,Pt,I,Gd,B,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
1775,C15H12N2O2,252.26798,0,15,12,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,252.2729945,4.0856,16,4,2,2,0,0,0,0.095238095,21,1,0,77.7262,31,0,0,0,0,0,0,2,2,0,0,33,0,0,0,0,58.2,9.428034666,1.003948079,8.390958419,13.95918367,5.78,162,189,12,31,33,2,16,4,2,2.4272,77.5004,252.26798,0,19,0,58.2
1978,C18H28N2O4,336.42592,0,18,28,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,1,336.431993,8.1657,33,5,3,2,0,1,1,0.458333333,24,0,0,126.0568,52,0,0,0,0,0,0,2,4,0,0,52,0,0,0,0,92.24,14.57904145,0.971667059,14.00415323,22.04166667,11.58376691,260,253,6,52,52,2,34,6,3,2.8294,95.0537,336.42592,0,44,0,87.66
1983,C8H9NO2,151.16256,0,8,9,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,151.1649967,2.1716,12,3,2,2,0,0,0,0.181818182,11,0,0,52.5344,20,0,0,0,0,0,0,1,2,0,0,20,0,0,0,0,49.33,7.798254183,0.976024514,6.98981385,9.090909091,4.132653061,93,93,6,20,20,1,12,3,2,1.4236,42.7777,151.16256,0,13,0,49.33
1990,C2H5NO2,75.0666,0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0669986,0.7707,7,3,2,2,1,0,0,0.25,4,0,0,20.5556,10,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,52.16,4.17162157,0.971082453,3.295846925,5,2.25,39,30,0,10,9,1,8,3,2,-0.0974,15.4592,75.0666,0,8,0,49.33
2022,C8H11N5O3,225.20464,0,8,11,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,2,225.2079962,1.5883,17,7,3,2,0,1,0,0.235294118,17,2,0,67.358,27,0,0,0,0,0,0,5,3,0,0,28,0,0,0,0,119.05,10.37128401,0.975561453,9.631092462,12.4567474,5.557655955,137,142,10,27,28,1,17,7,3,-0.7506,55.6759,225.20464,0,17,0,119.05
2082,C12H15N3O2S,265.3314,0,12,15,3,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2,265.3379968,6.3217,20,5,2,2,0,0,0,0.315789474,19,1,0,88.8818,33,0,0,0,0,0,0,3,2,0,1,34,0,0,0,0,92.31,12.54612695,1.009150816,11.43236071,14.4099723,6.9632,167,165,10,33,34,1,20,5,2,3.3163,73.2154,265.3314,0,23,0,92.31
2083,C13H21NO3,239.31074,0,13,21,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,239.3149949,4.0611,24,3,4,3,0,2,1,0.294117647,17,0,0,91.9697,38,0,0,0,0,0,0,1,3,0,0,38,0,0,0,0,77.3,10.38652005,0.96703032,9.740635363,15.05882353,6.25,187,188,6,38,38,0,25,4,4,1.6969,67.5953,239.31074,0,32,0,72.72
2088,C4H13NO7P2,249.096044,0,4,13,1,7,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,249.0959979,-0.1853,20,7,6,5,4,1,0,0.384615385,13,0,0,63.7235,27,0,0,0,0,0,0,1,7,2,0,26,0,0,0,0,182.55,7.783725796,0.975285982,6.980967575,14,4.244897959,127,140,0,27,26,2,21,8,6,-0.5729,47.2234,249.096042,0,24,0,180.93
2092,C19H27N5O4,389.44878,0,19,27,5,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,3,1,389.4559926,9.0592,36,9,2,1,0,0,0,0.3,30,2,0,135.0112,55,0,0,0,0,0,0,5,4,0,0,57,0,0,0,0,111.83,16.55224192,1.003934397,15.48737405,22.68,10.85782272,289,289,11,55,57,1,36,9,2,2.3228,106.7551,389.44878,0,45,0,111.83
2094,C5H4N4O,136.11146,0,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,136.1139979,0.2722,7,3,2,2,0,0,0,0,11,2,0,37.6648,14,0,0,0,0,0,0,4,1,0,0,15,0,0,0,0,74.43,6.279511801,1.018114559,5.167785093,6.694214876,2.56,72,81,10,14,15,1,7,3,2,-0.3538,34.5094,136.11146,0,4,0,74.43
2099,C17H18N4O,294.35102,0,17,18,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,2,294.3579943,6.092,21,4,1,1,0,0,0,0.08,25,3,0,102.2601,40,0,0,0,0,0,0,4,1,0,0,43,0,0,0,0,53.92,11.99985431,1.010226355,10.87838176,15.5232,6.135865595,220,238,15,40,43,1,21,4,1,2.3462,89.4632,294.35102,0,27,0,53.92
2118,C17H13ClN4,308.76492,0,17,13,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,308.7719938,5.0114,16,4,0,0,0,0,0,0.04,25,2,0,98.2572,35,1,0,0,1,0,0,4,0,0,0,38,0,0,0,0,43.07,10.13396557,1.0836226,8.351932654,15.5232,6.481481481,189,210,17,35,38,1,16,4,0,3.0157,90.651,308.76492,0,20,0,43.07
