cid,MF,MW,Ncharges,C,H,N,O,Cl,P,S,F,Br,Pt,I,Gd,B,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
2474,C18H28N2O,288.42772,0,18,28,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,288.4349942,9.3839,30,2,2,2,0,0,1,0.272727273,22,1,0,118.1693,49,0,0,0,0,0,0,2,1,0,0,50,0,0,0,0,33.54,10.45494459,1.014644494,9.304047041,17.3553719,8.585017836,258,259,6,49,50,1,31,3,1,3.9074,93.8397,288.42772,0,43,0,32.34
2477,C21H31N5O2,385.50314,0,21,31,5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,385.5119928,8.9174,37,6,1,1,0,0,1,0.193548387,31,3,0,134.0243,59,0,0,0,0,0,0,5,2,0,0,62,0,0,0,0,70.84,16.8929067,1.078842419,14.65836344,21.24037461,9.871281774,331,363,6,59,62,2,38,7,0,2.029,118.699,385.50314,0,54,0,69.64
2478,C6H14O6S2,246.30176,0,6,14,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.3059986,5.4172,20,6,0,0,0,0,0,0.538461538,13,0,0,65.852,28,0,0,0,0,0,0,0,6,0,2,27,0,0,0,4,103.5,9.790197985,1.06281815,8.211545723,14,5.777777778,140,128,0,28,27,4,20,6,0,1.8806,51.054,246.30176,0,23,0,103.5
2519,C8H10N4O2,194.1906,0,8,10,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,194.1939967,1.2783,13,6,0,0,0,0,0,0,15,2,0,62.609,24,0,0,0,0,0,0,4,2,0,0,25,0,0,0,0,61.82,7.655267934,1.083823753,6.06320369,10.51555556,3.538752363,126,126,10,24,25,2,13,6,0,-1.0293,52.039,194.1906,0,13,0,61.82
2520,C27H38N2O4,454.60162,0,27,38,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,2,2,454.6109903,13.45918,43,5,1,1,0,0,1,0.382352941,34,0,0,173.8847,71,0,0,0,0,0,0,2,4,0,0,72,0,0,0,0,65.15,14.85252698,1.053873171,13.09327743,29.23183391,14.53308129,362,346,12,71,72,0,44,6,0,5.09308,132.461,454.60162,0,59,1,63.95
2541,C24H20N6O3,440.454,0,24,20,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,4,439.4549912,7.5102,25,8,1,2,5,0,0,0.189189189,37,2,0,140.3264,52,0,0,0,0,0,0,6,3,0,0,56,0,0,0,0,121.64,13.89993955,0.983914185,13.12718687,24.68371074,11.37278107,280,310,27,53,57,1,27,8,2,4.0286,122.348,440.454,0,29,0,118.81
2554,C15H12N2O,236.26858,0,15,12,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,236.2739949,5.8109,15,2,1,0,0,0,0,0.05,20,1,0,82.407,30,0,0,0,0,0,0,2,1,0,0,32,0,0,0,0,46.33,8.814627846,1.011715572,7.71255528,13.005,5.551020408,154,174,12,30,32,2,15,2,1,4.1525,76.0464,236.26858,0,18,0,46.33
2576,C12H24N2O4,260.32996,0,12,24,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,260.3339949,8.0202,30,6,2,1,0,0,0,0.588235294,17,0,0,93.4802,42,0,0,0,0,0,0,2,4,0,0,41,0,0,0,0,90.65,9.500837263,1.005074342,8.452870164,18,8.991735537,206,192,0,42,41,2,30,6,2,3.1139,68.3951,260.32996,0,39,0,90.65
2578,C5H9Cl2N3O2,214.04986,0,5,9,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,214.0519959,4.4193,14,5,1,1,0,0,0,0.636363636,11,0,0,56.1844,21,2,0,0,2,0,0,3,2,0,0,20,0,0,0,0,61.77,8.57710355,1.017116464,7.432764439,12,7.638888889,99,93,0,21,20,2,14,5,1,1.5479,46.7657,214.04986,0,18,0,61.77
2585,C24H26N2O4,406.47424,0,24,26,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,4,3,406.4819911,9.63,30,4,3,2,0,1,1,0.303030303,33,1,0,146.8823,56,0,0,0,0,0,0,2,4,0,0,59,0,0,0,0,80.32,11.20900493,0.976220096,10.48204691,23.16804408,11.74380165,292,311,21,56,59,0,31,5,3,4.1289,117.9932,406.47424,0,38,0,75.74
2662,C17H14F3N3O2S,381.3721696,0,17,14,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,381.3789928,7.3297,18,5,1,0,0,0,0,0.142857143,28,1,0,104.5718,40,3,0,0,0,0,3,3,2,0,1,42,0,0,0,2,86.36,11.84075842,1.019569359,10.61348987,20.72704082,7.78799351,210,233,17,40,42,2,18,5,1,5.295,89.9624,381.3721696,3,23,0,86.36
2678,C21H25ClN2O3,388.8878,0,21,25,2,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3,2,387.8869915,9.2976,26,3,2,3,1,0,2,0.275862069,29,1,0,126.8073,51,1,0,0,1,0,0,2,3,0,0,53,0,0,0,0,58.24,10.10640829,1.001483296,9.091439697,21.70273484,11.2534626,273,292,12,52,54,1,30,5,1,3.024,113.7258,388.8878,0,41,0,53.01
2708,C14H19Cl2NO2,304.21216,0,14,19,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,303.2089932,7.9709,20,3,0,1,1,0,0,0.473684211,19,0,0,98.0975,37,2,0,0,2,0,0,1,2,0,0,37,0,0,0,0,43.37,11.2214151,0.97717016,10.48358347,17.05263158,9.833648393,191,192,6,38,38,1,22,3,1,3.3779,81.0138,304.21216,0,31,0,40.54
2732,C14H11ClN2O4S,338.76614,0,14,11,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,338.7719945,4.27,17,6,3,2,0,1,0,0.083333333,24,1,0,88.4817,33,1,0,0,1,0,0,2,4,0,1,35,0,0,0,2,117.87,10.03050129,0.967208818,9.370564358,16.84375,5.817174515,175,208,12,33,35,3,17,6,3,3.0341,82.9344,338.76614,0,20,0,117.87
2749,C12H17NO2,207.26888,0,12,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,207.2729956,5.073,19,3,1,1,0,0,0,0.0625,16,1,0,77.9724,32,0,0,0,0,0,0,1,2,0,0,33,0,0,0,0,42.23,7.899391699,0.973375723,7.115459949,11.484375,4.888429752,171,183,6,32,33,1,19,3,1,2.4417,60.0977,207.26888,0,26,0,42.23
2754,C20H27N5O2,369.46068,0,20,27,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,369.4689931,8.6271,33,7,1,1,4,0,0,0.233333333,30,2,0,128.8096,54,0,0,0,0,0,0,5,2,0,0,57,0,0,0,0,81.93,12.35676234,1.014004973,11.1860964,20.28,10.15625,299,326,11,54,57,1,33,7,1,3.6027,106.4997,369.46068,0,45,0,81.93
2756,C10H16N6S,252.33924,0,10,16,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,252.3469982,5.27238,22,6,3,3,0,0,2,0.411764706,17,1,0,85.8122,33,0,0,0,0,0,0,6,0,0,1,33,0,0,0,0,114.19,12.05903547,1.002460065,11.02944226,15.05882353,9,160,147,5,33,33,1,22,6,3,1.37918,69.1831,252.33924,0,26,1,114.19
2764,C17H18FN3O3,331.3415232,0,17,18,3,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,4,1,330.3389927,6.3674,20,5,1,1,1,0,1,0.111111111,27,2,0,99.8715,41,1,0,0,0,0,1,3,3,0,0,44,0,0,0,0,81.98,12.7485238,0.983144705,11.96708789,17.41563786,6.9575,236,272,11,42,45,2,23,6,2,1.9771,95.246,331.3415232,1,32,0,74.57
2767,H4Cl2N2Pt,298.03516,3,0,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,6,0,4,0,2,2.8107,22.2748,298.02916,0,6,0,52.04
2771,C20H21FN2O,324.3919432,0,20,21,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,2,324.3989927,8.05868,23,2,1,1,0,0,1,0.192307692,26,1,0,114.7737,45,1,0,0,0,0,1,2,1,0,0,47,0,0,0,0,37.46,12.00167013,1.057814621,10.34572153,18.78106509,8.131482834,239,255,12,45,47,0,24,3,0,3.81298,91.319,324.3919432,1,34,1,36.26
2789,C16H13ClN2O2,300.73962,0,16,13,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,300.7449933,5.5892,17,3,0,0,0,0,0,0.043478261,23,1,0,90.5384,34,1,0,0,1,0,0,2,2,0,0,36,0,0,0,0,40.62,9.757857722,1.085052445,7.992982569,15.87901701,6.629935721,179,198,12,34,36,2,17,3,0,3.5012,89.067,300.73962,0,22,0,40.62
2801,C19H23ClN2,314.85232,0,19,23,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,314.8599933,9.6991,24,0,1,1,0,0,1,0.166666667,24,1,0,118.2079,45,1,0,0,1,0,0,2,0,0,0,47,0,0,0,0,7.68,10.85754231,1.067830277,9.167853961,16.84375,7.713498623,239,249,12,45,47,0,25,1,0,4.5934,98.774,314.85232,0,35,0,6.48
2802,C15H10ClN3O3,315.7112,2,15,10,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,315.7159932,4.3508,14,3,1,1,0,0,0,0.083333333,24,1,0,87.9102,32,1,0,0,1,0,0,3,3,0,0,34,2,0,0,0,84.6,9.627626685,1.011560764,8.517596009,16.84375,7.266435986,168,191,12,32,34,3,14,3,1,3.1345,91.8717,315.7112,0,19,0,87.28
2803,C9H9Cl2N3,230.09386,0,9,9,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,230.0979954,4.3279,12,3,2,2,0,0,2,0.133333333,15,1,0,64.0502,23,2,0,0,2,0,0,3,0,0,0,24,0,0,0,0,36.42,9.170188386,1.00405134,8.133186741,10.51555556,4.68,119,129,6,23,24,1,12,3,2,2.2019,66.9954,230.09386,0,17,0,36.42
2818,C18H19ClN4,326.82326,0,18,19,4,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1,326.8309935,5.999,22,3,2,2,0,0,1,0.038461538,26,2,0,104.4579,42,1,0,0,1,0,0,4,0,0,0,45,0,0,0,0,32.07,10.92732634,1.007083435,9.850467752,16.46745562,7.086924763,229,251,12,42,45,2,23,4,1,1.4793,108.0457,326.82326,0,31,0,30.87
2895,C20H21N,275.38744,0,20,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,275.3949939,8.4624,21,0,1,1,0,0,1,0.130434783,23,0,0,115.5267,42,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0,4.44,10.31312512,1.082878327,8.523807859,15.87901701,7.513007284,217,226,12,42,44,2,22,1,0,4.5538,92.072,275.38744,0,30,0,3.24
2907,C7H15Cl2N2O2P,261.085962,0,7,15,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,261.0889963,6.7295,19,4,1,1,0,0,0,0.357142857,14,1,0,72.2281,29,2,0,0,2,0,0,2,2,1,0,29,0,0,0,0,51.38,8.143412797,1.01106671,7.054278436,12.07142857,5.777777778,153,152,0,29,29,1,19,4,1,2.2128,62.6022,261.085961,0,28,0,51.38
2955,C12H12N2O2S,248.30088,0,12,12,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,248.3069968,5.7678,16,4,2,0,0,0,0,0.111111111,18,0,0,79.4956,29,0,0,0,0,0,0,2,2,0,1,30,0,0,0,2,94.56,11.6017422,1.011283593,10.47229351,13.43209877,5.325443787,144,158,12,29,30,2,16,4,2,3.927,67.1888,248.30088,0,16,0,94.56
2972,C7H9NO2,139.15186,0,7,9,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,139.1539971,1.4749,11,3,1,1,0,0,0,0,10,1,0,48.804,19,0,0,0,0,0,0,1,2,0,0,19,0,0,0,0,42.23,6.126835375,0.976056187,5.277133894,8.1,2.93877551,91,87,6,19,19,1,11,3,1,0.3993,38.953,139.15186,0,12,0,42.23
2973,C25H48N6O8,560.68402,0,25,48,6,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,560.6929893,12.4462,58,13,6,5,3,0,0,0.736842105,38,0,0,193.8099,87,0,0,0,0,0,0,6,8,0,0,86,0,0,0,0,215.95,14.39287513,0.9734692,13.78513664,39,25.68987654,436,434,0,87,86,5,62,14,6,2.4042,142.4763,560.68402,0,81,0,205.84
3009,C6H12F2N2O2,182.1684864,0,6,12,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,181.1619958,4.1685,12,2,2,1,1,0,0,0.454545455,11,0,0,50.1055,23,2,0,0,0,0,2,2,2,0,0,22,0,0,0,0,95.41,6.163519501,0.983828894,5.264828709,12,4.888888889,114,117,0,24,23,1,16,4,3,1.1731,38.2826,182.1684864,2,22,0,89.34
3016,C16H13ClN2O,284.74022,0,16,13,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,284.7459937,5.09,16,3,0,0,0,0,0,0.045454545,22,1,0,89.4224,33,1,0,0,1,0,0,2,1,0,0,35,0,0,0,0,32.67,9.925093929,1.085921806,8.139786933,14.91735537,6.405827263,173,188,12,33,35,2,16,3,0,2.6544,87.951,284.74022,0,21,0,32.67
3042,C19H35NO2,309.4867,0,19,35,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,309.4939936,11.4436,37,2,1,1,0,0,1,0.347826087,23,0,0,131.3927,57,0,0,0,0,0,0,1,2,0,0,58,0,0,0,0,30.74,11.30844967,1.083600264,9.435997519,18.34026465,9.333333333,311,321,0,57,58,1,38,3,0,4.4022,93.14,309.4867,0,57,0,29.54
3059,C13H8F2O3,250.1976264,0,13,8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,249.1919931,3.6737,9,3,1,2,1,0,0,0.105263158,19,0,0,66.571,25,2,0,0,0,0,2,0,3,0,0,26,0,0,0,0,60.36,10.13621073,0.96902869,9.460176088,14.4099723,5.969821674,128,147,12,26,27,1,11,3,2,3.0356,60.7763,250.1976264,2,14,0,57.53
3108,C24H40N8O4,504.6256,0,24,40,8,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,2,504.6359911,8.9134,52,12,4,4,0,4,0,0.307692308,39,4,0,177.6776,76,0,0,0,0,0,0,8,4,0,0,79,0,0,0,0,145.44,13.61329745,0.968310612,13.05881262,28.99408284,14.96301775,410,431,11,76,79,0,52,12,4,0.1124,146.3152,504.6256,0,68,0,145.44
3114,C21H29N3O,339.47446,0,21,29,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,339.4829932,9.4232,32,3,2,1,0,0,1,0.307692308,26,1,0,134.3615,54,0,0,0,0,0,0,3,1,0,0,55,0,0,0,0,60.42,11.56871385,1.006333748,10.4959017,21.30177515,9.796296296,275,282,12,54,55,1,33,4,1,4.0622,102.6394,339.47446,0,42,0,59.22
3121,C8H16O2,144.21144,0,8,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,143.2059969,5.0694,16,2,0,1,1,0,0,0.555555556,9,0,0,56.2545,25,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,40.13,7.476069956,0.978005681,6.644198904,10,5.76,126,117,0,26,25,1,18,2,1,2.2874,42.3418,144.21144,0,24,0,37.3
3151,C22H24ClN5O2,425.91126,0,22,24,5,2,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5,3,425.9199915,8.2544,26,4,3,3,0,0,1,0.147058824,34,3,0,144.0837,54,1,0,0,1,0,0,5,2,0,0,58,0,0,0,0,80.02,12.25315653,1.003396795,11.21167597,21.82525952,9.469387755,302,345,20,54,58,2,27,5,2,3.2911,124.0764,425.91126,0,36,0,78.82
3152,C24H29NO3,379.49196,0,24,29,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,4,2,379.4999915,10.7137,32,3,1,1,0,0,1,0.193548387,31,1,0,140.7864,57,0,0,0,0,0,0,1,3,0,0,60,0,0,0,0,39.97,13.18194203,1.047683886,11.58198414,21.24037461,9.871281774,311,332,12,57,60,1,33,4,0,4.299,115.3055,379.49196,0,47,0,38.77
3157,C23H25N5O5,451.4751,0,23,25,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,5,2,451.4829909,8.9073,35,10,1,0,0,0,0,0.135135135,37,3,0,142.5512,58,0,0,0,0,0,0,5,5,0,0,62,0,0,0,0,112.27,15.04509905,1.005878583,13.95717208,24.68371074,10.94766821,315,335,17,58,62,1,35,10,1,2.3019,128.5844,451.4751,0,44,0,112.27
3219,C17H26N4O,302.41454,0,17,26,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,302.4219944,8.7515,29,4,1,1,0,0,1,0.208333333,24,2,0,113.7431,48,0,0,0,0,0,0,4,1,0,0,50,0,0,0,0,34.73,11.39020569,1.070246631,9.642598969,16.84375,8.203125,258,261,10,48,50,0,30,5,0,2.2176,97.568,302.41454,0,40,0,33.53
3241,C16H15N3,249.3104,0,16,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,249.316995,5.4753,18,3,1,0,0,0,2,0,22,2,0,86.8902,34,0,0,0,0,0,0,3,0,0,0,37,0,0,0,0,41.62,9.27393289,1.013413651,8.151182129,12.71900826,5.080078125,187,213,12,34,37,1,18,3,1,2.6677,83.4934,249.3104,0,24,0,41.62
3261,C16H11ClN4,294.73834,0,16,11,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,294.744994,4.3267,14,4,0,0,0,0,0,0.041666667,24,2,0,91.1772,32,1,0,0,1,0,0,4,0,0,0,35,0,0,0,0,43.07,9.426884779,1.079983299,7.728731997,14.58333333,6.24567474,173,198,17,32,35,1,14,4,0,2.7073,85.685,294.73834,0,17,0,43.07
3305,C2H8O7P2,206.028244,0,2,8,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206.0269985,-1.891,15,7,5,5,4,1,0,0.2,10,0,0,45.048,19,0,0,0,0,0,0,0,7,2,0,18,0,0,0,0,154.91,6.641099005,0.975552712,5.807524515,11,2.5,86,96,0,19,18,2,15,7,5,-0.9922,34.902,206.028242,0,16,0,154.91
3308,C17H21NO3,287.35354,0,17,21,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,1,286.3509936,7.4661,22,3,1,2,1,0,0,0.173913043,23,2,0,101.7679,41,0,0,0,0,0,0,1,3,0,0,43,0,0,0,0,65.15,10.08354191,0.981398029,9.274671039,15.87901701,6.24567474,227,243,10,42,44,1,24,3,2,3.383,82.6645,287.35354,0,33,0,62.32
3324,C14H19N5O4,321.33176,0,14,19,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,321.3369941,5.1715,27,9,1,0,0,0,0,0.375,24,2,0,101.9098,42,0,0,0,0,0,0,5,4,0,0,43,0,0,0,0,122.22,11.17119827,1.002540913,10.14288516,19.32638889,9.474609375,215,215,10,42,43,2,27,9,1,1.1222,82.0154,321.33176,0,31,0,122.22
3331,C11H14N2O4,238.23986,0,11,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,238.242995,5.3803,20,6,2,0,0,0,0,0.411764706,17,0,0,73.8196,31,0,0,0,0,0,0,2,4,0,0,31,0,0,0,0,104.64,10.33812852,1.00554636,9.281105814,15.05882353,8.163265306,148,150,6,31,31,2,20,6,2,2.3614,59.3988,238.23986,0,23,0,104.64
3339,C20H21ClO4,360.83134,0,20,21,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2,360.8369914,7.9657,25,4,0,0,0,0,0,0.269230769,26,0,0,120.1805,46,1,0,0,1,0,0,0,4,0,0,47,0,0,0,0,52.6,15.67924479,1.064878626,13.72397361,21.30177515,9.273922571,233,239,12,46,47,2,25,4,0,4.68,97.9835,360.83134,0,33,0,52.6
3342,C15H14O3,242.26986,0,15,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,241.2659942,5.7302,15,3,0,1,1,0,0,0.210526316,19,0,0,81.1085,31,0,0,0,0,0,0,0,3,0,0,32,0,0,0,0,49.36,11.91630482,0.979110648,11.17053951,14.4099723,6.9632,158,169,12,32,33,1,17,3,1,3.667,69.3098,242.26986,0,20,0,46.53
3345,C22H28N2O,336.47052,0,22,28,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,336.4789929,9.7426,30,2,1,1,0,0,1,0.259259259,27,1,0,132.9129,53,0,0,0,0,0,0,2,1,0,0,55,0,0,0,0,24.75,10.50631328,1.039118945,9.110789847,19.75308642,10.36408163,280,297,12,53,55,1,31,3,0,4.0746,108.489,336.47052,0,42,0,23.55
3348,C32H39NO4,501.65636,0,32,39,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,4,3,500.6589887,11.6284,41,4,3,4,1,2,1,0.25,40,1,0,185.318,75,0,0,0,0,0,0,1,4,0,0,78,0,0,0,0,85.03,14.10203886,0.967933301,13.56922584,29.97,13.5734072,401,443,18,76,79,1,44,5,3,5.4484,151.5904,501.65636,0,60,0,81
3365,C13H12F2N6O,306.2707864,0,13,12,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,306.2759938,2.3539,17,7,1,1,0,1,0,0.208333333,24,2,0,83.7308,34,2,0,0,0,0,2,6,1,0,0,36,0,0,0,0,81.65,8.742821736,0.974388312,7.972625829,16.84375,7.266435986,178,202,16,34,36,0,17,7,1,0.7358,70.7088,306.2707864,2,20,0,81.65
3373,C15H14FN3O3,303.2883632,0,15,14,3,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2,303.2929933,4.6073,19,6,0,0,0,0,0,0.125,24,2,0,88.1292,36,1,0,0,0,0,1,3,3,0,0,38,0,0,0,0,64.43,12.10695635,1.082662453,10.1825771,16.84375,6.857142857,192,204,11,36,38,2,19,6,0,1.7116,79.466,303.2883632,1,25,0,64.43
3380,C16H12FN3O3,313.2831832,2,16,12,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,313.287993,4.3609,16,3,0,0,0,0,0,0.08,25,1,0,89.9678,35,1,0,0,0,0,1,3,3,0,0,37,2,0,0,0,75.81,10.18153506,1.085045815,8.383507058,17.8112,7.486111111,184,203,12,35,37,3,16,3,0,2.5715,91.721,313.2831832,1,22,0,78.49
3385,C4H3FN2O2,130.0772232,0,4,3,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,130.0779971,-0.2463,5,2,2,2,0,0,0,0,9,1,0,30.6238,12,1,0,0,0,0,1,2,2,0,0,12,0,0,0,0,65.72,5.364083485,1.008106221,4.320950682,7.111111111,2.722222222,57,63,6,12,12,2,5,2,2,-0.7977,27.6414,130.0772232,1,4,0,65.72
3386,C17H18F3NO,309.3261296,0,17,18,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,309.330992,8.1339,19,1,1,0,0,0,1,0.304347826,23,0,0,99.8351,40,3,0,0,0,0,3,1,1,0,0,41,0,0,0,0,25.84,9.207341318,1.014556335,8.075239093,18.34026465,8.740894901,204,214,12,40,41,0,20,2,1,4.8259,79.6457,309.3261296,3,29,0,21.26
3397,C11H11F3N2O3,276.2118496,2,11,11,2,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,276.213993,5.0815,14,2,1,1,0,0,0,0.263157895,19,0,0,73.5578,30,3,0,0,0,0,3,2,3,0,0,30,2,0,0,0,72.24,8.871485955,1.017710975,7.717097653,17.05263158,6.635204082,151,158,6,30,30,2,14,2,1,3.8043,64.1927,276.2118496,3,22,0,74.92
3406,C4H6N2,82.10384,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,82.10599875,1.6776,7,1,1,1,0,0,0,0,6,1,0,29.8014,12,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,28.68,5.190421576,1.013998843,4.11876479,4.166666667,1.632653061,56,51,5,12,12,0,7,1,1,0.7181,23.5537,82.10384,0,7,0,28.68
3410,C19H24N2O4,344.40486,0,19,24,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,2,2,344.4109926,7.235,29,5,4,3,0,1,1,0.346153846,26,0,0,124.6093,49,0,0,0,0,0,0,2,4,0,0,50,0,0,0,0,95.4,14.1751312,0.968855005,13.63080763,21.30177515,10.98269896,244,253,12,49,50,1,30,6,4,3.3231,97.4962,344.40486,0,37,0,90.82
3440,C12H11ClN2O5S,330.74414,0,12,11,2,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,329.7409947,5.8128,15,7,2,2,1,0,0,0.227272727,22,1,0,83.8092,31,1,0,0,1,0,0,2,5,0,1,32,0,0,0,2,133.84,12.24434915,0.991379033,11.35082521,17.3553719,7.05078125,161,179,11,32,33,3,17,7,3,3.7448,75.4644,330.74414,0,19,0,131.01
