DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
5281037,small molecule,FALSE,Y,3.57,-4.7,424.513,424.145678,92.42,117.02,45.29,10,5,2,3.63,6.93,-2,3,T
5281040,small molecule,FALSE,Y,7.25,-7.8,586.183,585.2104424,70.42,169.5,66.36,12,4,2,4.4,3.12,-1,5,T
5281042,small molecule,FALSE,Y,3.8,-7.5,1029.2608,1028.560955,144.9,308.74,116.68,30,12,0,18.59,-4.1,2,6,T
5281071,small molecule,FALSE,Y,3.99,-4,337.4122,337.1677936,49.77,109.55,37.44,5,4,1,3.78,9.76,0,3,T
5281078,small molecule,TRUE,Y,2.17,-3.7,433.4947,433.2100524,94.53,117.1,45.55,10,6,1,9.76,6.19,0,3,T
5281081,small molecule,FALSE,Y,2.5,-3.6,305.286,305.1011706,130.38,80.51,29.48,5,6,2,5.68,-0.036,-1,1,T
5281104,small molecule,FALSE,Y,5.27,-4.8,416.6365,416.3290453,60.69,127.95,51.11,5,3,3,14.81,-1,0,3,T
5282226,small molecule,FALSE,Y,4.02,-4.8,500.5477,500.2385735,96.22,127.86,51.61,14,5,3,13.95,-2.9,0,2,T
5282379,small molecule,FALSE,Y,5.66,-4.8,300.4351,300.2089301,37.3,97.79,36.15,5,2,1,5,,-1,1,T
5284513,small molecule,FALSE,Y,5.2,-5.8,326.4293,326.1881947,46.53,104.17,38.54,6,3,1,5.01,-4.8,-1,1,T
5284543,small molecule,FALSE,Y,1.58,-2.1,301.3801,301.1677936,41.93,83.64,32.82,1,4,1,14.15,9.33,1,5,T
5284549,small molecule,FALSE,Y,-0.5,-2.7,324.44,324.0272191,106.33,72.46,31.55,3,5,2,8.18,7.14,1,2,T
5284569,small molecule,FALSE,Y,2.13,-2.6,299.3642,299.1521435,38.77,82.74,32.05,1,4,0,18,8.61,1,5,T
5284570,small molecule,FALSE,Y,1.69,-1.8,285.3377,285.1364935,49.77,78.26,30.02,0,4,1,10.11,8.59,1,5,T
5284603,small molecule,FALSE,Y,1.04,-1.8,315.3636,315.1470582,59,84.04,32.8,1,5,1,13.56,8.21,1,5,T
5284604,small molecule,FALSE,Y,1.26,-1.1,301.3371,301.1314081,70,79.56,30.77,0,5,2,7.34,10.93,1,5,T
5284627,small molecule,TRUE,Y,1.29,-1.7,339.362,339.0987873,115.54,72.3,32.42,3,8,1,11.09,-3.7,0,3,T
5288783,small molecule,FALSE,Y,4.63,-4.5,412.6047,412.2977451,60.69,125.45,49.59,5,3,3,14.39,-1.6,0,4,T
5288826,small molecule,FALSE,Y,0.99,-1.4,285.3377,285.1364935,52.93,80.12,29.95,0,4,2,10.26,9.12,1,5,T
5311027,small molecule,TRUE,Y,3.41,-4.3,415.5656,415.2722587,89.79,122.83,48.99,12,4,4,14.35,-0.23,0,2,T
5311066,small molecule,FALSE,Y,2.31,-3.9,416.5073,416.2198888,93.06,112.06,44.77,2,6,2,13.74,-2.9,0,5,T
5311067,small molecule,FALSE,Y,2.13,-4.1,376.4617,376.2049876,74.6,101.17,40.09,2,4,2,13.44,-3.3,0,4,T
5311068,small molecule,FALSE,Y,3.28,-3.1,200.2795,200.1313485,28.68,62.98,23.32,2,1,1,14.09,6.54,0,2,T
5311181,small molecule,TRUE,Y,5.04,-5.4,478.6197,478.2719243,83.83,139.85,55.4,13,4,2,13.72,-0.87,0,3,T
5311221,small molecule,FALSE,Y,4.16,-4.5,432.5928,432.2875744,86.99,124.34,50.71,14,4,3,14.47,-2.7,0,2,T
5311304,small molecule,FALSE,Y,2,-2.2,357.4434,357.1940084,73.16,97,38.59,2,5,3,7.45,13.75,1,6,T
5311309,small molecule,FALSE,Y,3.59,-4.6,317.4226,317.1990937,66.4,89.46,35.57,6,3,2,4,-0.38,-1,2,T
5312125,small molecule,FALSE,Y,2.96,-4.7,495.5345,495.2344911,97.05,128.92,49.89,14,6,3,14.87,9.66,1,3,T
5328940,small molecule,FALSE,Y,4.87,-4.8,530.446,529.1647452,82.88,142.12,56.14,9,8,1,15.48,8.43,1,4,T
5329102,small molecule,TRUE,Y,3.24,-4.1,398.4738,398.2118043,77.23,116.27,44.32,7,3,3,11.46,9.04,1,3,T
5359476,small molecule,FALSE,Y,2.92,-3.9,398.393,398.0684903,141.31,104.6,39.69,5,8,3,3.3,2.4,-2,3,T
5360373,small molecule,TRUE,Y,-0.52,-4.7,1415.552,1414.51898,627.07,344.16,142.03,36,28,20,11.34,7.67,2,6,T
5360515,small molecule,TRUE,Y,2.07,-2,341.4009,341.1627082,70,91.5,35.97,2,5,2,7.39,11.54,1,6,T
