DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
2266,small molecule,FALSE,Y,1.37,-1.9,188.2209,188.104859,74.6,46.54,20.5,8,4,2,4.15,,-2,0,T
2267,small molecule,FALSE,Y,3.81,-4.6,381.898,381.1607901,35.91,110.52,41.54,3,3,0,,8.88,1,4,T
2284,small molecule,FALSE,Y,-0.82,-2.5,213.661,213.0556563,63.32,54.83,21.13,4,3,2,3.89,9.79,0,1,T
2351,small molecule,FALSE,N,5.33,-4.8,366.5396,366.2671137,15.71,115.12,43.5,10,3,0,,9.16,1,3,T
2366,small molecule,FALSE,Y,0.59,-0.44,136.1943,136.1000484,24.92,41.33,15.85,3,2,1,,9.77,1,1,T
2369,small molecule,FALSE,Y,3,-4,307.4278,307.2147438,50.72,88.64,37.05,11,4,2,14.09,9.67,1,2,T
2370,small molecule,FALSE,Y,-2.8,-2.8,161.2221,161.1290028,52.32,54.44,17.73,4,1,1,15.34,,1,0,T
2375,small molecule,FALSE,Y,2.7,-4.7,430.373,430.0610405,107.26,96.59,36.68,6,5,2,11.95,-4,0,2,T
2405,small molecule,FALSE,Y,2.3,-3.7,325.443,325.2253085,59.95,92.15,38.5,12,5,2,14.09,9.67,1,1,T
2435,small molecule,TRUE,Y,1.27,-3.3,292.135,291.011958,62.2,68.49,25.74,1,5,2,,8.32,1,3,T
2441,small molecule,FALSE,Y,2.09,-3.9,316.153,315.0007246,54.35,76.99,28.11,1,3,1,12.24,2.68,0,3,T
2471,small molecule,FALSE,Y,3.44,-4.2,364.416,364.1092925,118.72,95.78,37.21,8,5,3,4.69,2.7,-1,2,T
2474,small molecule,TRUE,Y,3.31,-3.5,288.4277,288.2201635,32.34,90.19,34.19,5,2,1,13.62,8,1,2,T
2477,small molecule,FALSE,Y,1.95,-2.8,385.5031,385.2477753,69.64,108.89,44.12,6,6,0,,7.62,1,4,T
2478,small molecule,TRUE,Y,-0.9,-1.7,246.302,246.0231796,86.74,49.57,23.64,7,4,0,,,0,0,T
2519,small molecule,FALSE,Y,-0.24,-1.2,194.1906,194.0803756,58.44,49.83,18.95,0,3,0,,-0.92,0,2,T
2520,small molecule,FALSE,Y,5.23,-5.1,454.6016,454.2831577,63.95,132.65,51.7,13,6,0,,9.68,1,2,T
2541,small molecule,FALSE,Y,4.02,-4.8,440.454,440.1596885,118.81,134.92,45.35,7,7,2,2.97,1.71,-1,5,T
2554,small molecule,FALSE,Y,2.1,-3.2,236.2686,236.094963,46.33,71.89,25,0,1,1,15.96,-3.8,0,3,T
2576,small molecule,FALSE,Y,1.76,-2.5,260.33,260.1736073,90.65,67.1,28.77,9,2,2,15.06,,0,0,T
2578,small molecule,FALSE,Y,1.24,-2.1,214.05,213.007182,61.77,46.98,18.8,5,2,1,11.96,-5.3,0,0,T
2585,small molecule,FALSE,Y,3.05,-5,406.4742,406.1892573,75.74,115.64,45.03,10,5,3,14.03,8.74,1,4,T
2662,small molecule,TRUE,Y,3.99,-4.9,381.372,381.075882,77.98,92.23,35.2,4,3,1,10.7,-0.42,0,3,T
2678,small molecule,FALSE,Y,2.98,-3.8,388.888,388.1553704,53.01,106.87,41.88,8,5,1,3.6,7.79,0,3,T
2708,small molecule,FALSE,Y,3.81,-3.6,304.212,303.0792843,40.54,79.68,31.98,9,3,1,4.46,1.72,-1,1,T
2732,small molecule,FALSE,Y,1.27,-3.8,338.766,338.0128052,109.49,81.3,31.23,2,4,3,8.58,-2.6,0,3,T
2749,small molecule,FALSE,Y,2.15,-2.2,207.2689,207.1259288,40.54,60.91,23.12,1,2,1,6.84,-6.2,-1,2,T
2754,small molecule,FALSE,Y,3.38,-4.1,369.4607,369.2164751,81.93,117.13,41.15,7,5,1,14.42,-0.51,0,4,T
2756,small molecule,FALSE,Y,0.44,-2.5,252.339,252.1157152,88.89,70.32,27.47,5,5,3,13.38,6.91,0,1,T
2764,small molecule,FALSE,N,-0.57,-2.4,331.3415,331.1332197,72.88,87.94,33.12,3,6,2,5.76,8.68,0,4,T
2767,small molecule,TRUE,Y,,,298.035,296.939928,52.04,22.84,10.31,0,2,2,,5.06,0,0,T
2771,small molecule,FALSE,Y,3.58,-4.7,324.3919,324.1637915,36.26,94.02,35.4,5,3,0,,9.78,1,3,T
2789,small molecule,FALSE,Y,2.14,-3.3,300.74,300.0665554,40.62,80.3,30.07,1,2,0,4.07,-6.7,-1,3,T
2801,small molecule,FALSE,Y,5.04,-4.3,314.852,314.1549765,6.48,95.41,35.73,4,2,0,,9.2,1,3,T
2802,small molecule,TRUE,Y,2.76,-4.5,315.711,315.0410689,87.28,84.02,29.59,2,4,1,11.89,1.86,0,3,T
2803,small molecule,FALSE,Y,2.55,-2.7,230.094,229.0173527,36.42,59.09,21.7,1,3,2,,8.16,1,2,T
2818,small molecule,FALSE,Y,3.67,-3.2,326.823,326.1298243,30.87,97.36,35.77,0,4,1,15.9,7.35,1,4,T
2895,small molecule,FALSE,Y,4.73,-4.6,275.3874,275.1673997,3.24,102.62,32.95,3,1,0,,9.76,1,3,T
2907,small molecule,FALSE,Y,0.76,-1.2,261.086,260.0248197,41.57,58.48,23.72,5,2,1,12.78,-0.57,0,1,T
2955,small molecule,TRUE,Y,1.19,-2.9,248.301,248.0619483,86.18,68.99,25.05,2,4,2,,2.39,0,2,T
2972,small molecule,FALSE,Y,-0.6,0.29,139.1519,139.0633285,40.54,40.7,14.05,0,3,1,11.82,0.52,0,1,T
2973,small molecule,FALSE,Y,0.93,-3.8,560.684,560.3533625,205.84,144.95,62.41,23,9,6,7.92,10.23,1,0,T
3016,small molecule,FALSE,Y,2.63,-4.4,284.74,284.0716408,32.67,79.81,29.39,1,2,0,,2.92,0,3,T
3042,small molecule,FALSE,Y,5.82,-5,309.4867,309.2667794,29.54,91.78,37.39,8,2,0,,8.96,1,2,T
3059,small molecule,FALSE,Y,3.11,-3.5,250.1976,250.0441505,57.53,60.86,22.29,2,3,2,2.69,-6.3,-1,2,T
3108,small molecule,FALSE,Y,1.52,-2.7,504.6256,504.3172518,145.44,142.78,56.94,12,12,4,14.97,6.59,0,4,T
3114,small molecule,FALSE,Y,3.21,-3.8,339.4745,339.2310626,59.22,102.3,38.82,8,3,1,16.19,10.42,1,2,T
3121,small molecule,TRUE,Y,2.54,-1.8,144.2114,144.1150298,37.3,40.25,17,5,2,1,5.14,,-1,0,T
3151,small molecule,FALSE,Y,3.7,-3.7,425.911,425.1618527,67.92,119.37,45.61,5,3,2,12.52,7.03,1,5,T
3152,small molecule,FALSE,Y,4.14,-4.9,379.492,379.2147438,38.77,112.11,44.34,6,4,0,17.02,8.62,1,4,T
3157,small molecule,FALSE,Y,2.53,-2.8,451.4751,451.1855689,112.27,121.64,46.63,4,9,1,12.67,7.24,1,5,T
3219,small molecule,FALSE,Y,2.91,-2.3,302.4145,302.2106615,33.53,90.47,35.49,5,4,0,,8.68,1,3,T
3241,small molecule,FALSE,Y,2.53,-3.2,249.3104,249.1265975,41.62,76.9,27.33,0,3,1,,8.77,1,4,T
3261,small molecule,FALSE,Y,1.72,-3.8,294.738,294.0672241,43.07,94.44,29.83,1,3,0,18.4,4.97,0,4,T
3305,small molecule,TRUE,Y,-0.77,-1.2,206.0282,205.9745256,135.29,34.51,13.97,2,7,5,0.7,-5.1,-2,0,T
3308,small molecule,FALSE,Y,3.39,-3.9,287.3535,287.1521435,62.32,81.16,31.94,4,3,2,4.73,-4.2,-1,3,T
3324,small molecule,FALSE,Y,0.13,-2.4,321.3318,321.1437041,122.22,81.54,32.83,9,6,1,16.7,5.05,0,2,T
3331,small molecule,FALSE,Y,0.56,-2.5,238.2399,238.0953569,104.64,59.59,23.52,7,2,2,14.98,,0,1,T
3333,small molecule,FALSE,Y,4.36,-4.7,384.254,383.0691135,64.63,99.2,38.04,6,3,1,,5.39,0,2,T
3339,small molecule,FALSE,Y,4.86,-5.7,360.831,360.1128369,52.6,97.13,38.15,7,3,0,,-4.9,0,2,T
3342,small molecule,FALSE,Y,3.87,-3.5,242.2699,242.0942943,46.53,68.18,25.3,4,2,1,3.96,-8.7,-1,2,T
3345,small molecule,FALSE,Y,4.12,-4.2,336.4705,336.2201635,23.55,103.48,40.03,6,2,0,,8.77,1,3,T
3348,small molecule,FALSE,Y,5.02,-5.3,501.6564,501.2879087,81,147.98,57.42,10,5,3,4.04,9.01,0,4,T
3365,small molecule,FALSE,Y,0.58,-2.3,306.2708,306.1040654,81.65,97.2,26.52,5,5,1,12.71,2.56,0,3,T
3373,small molecule,FALSE,Y,1.54,-2.5,303.2884,303.1019195,64.43,87.93,29.97,3,3,0,,3.27,0,3,T
3380,small molecule,FALSE,Y,2.2,-4.6,313.2832,313.0862695,78.49,82.55,29.6,2,4,0,,1.7,0,3,T
3385,small molecule,TRUE,Y,-0.58,-1.4,130.0772,130.0178556,58.2,26.17,9.46,0,2,2,7.76,-8,0,1,T
3386,small molecule,TRUE,Y,4.09,-5.3,309.3261,309.1340488,21.26,80.37,30.33,7,2,1,,9.8,1,2,T
3397,small molecule,FALSE,Y,2.55,-4.7,276.2118,276.0721768,74.92,63.42,23.2,4,3,1,13.17,-3.7,0,1,T
3406,small molecule,FALSE,Y,0.41,0.83,82.1038,82.0530982,28.68,24.79,8.58,0,1,1,15.82,2.13,0,1,T
3410,small molecule,FALSE,Y,1.91,-3.9,344.4049,344.1736073,90.82,97.87,36.56,8,5,4,8.61,9.81,1,2,T
3440,small molecule,FALSE,Y,2.71,-3.5,330.744,330.0077199,122.63,77.47,30.55,5,5,3,4.25,-1.5,-1,2,T
3446,small molecule,TRUE,Y,-1.9,-1.6,171.2368,171.1259288,63.32,46.33,18.92,3,3,2,4.63,9.91,0,1,T
3454,small molecule,FALSE,Y,-1.8,-1.4,255.2306,255.0967539,134.99,61.03,24.15,5,7,4,10.16,1.76,0,2,T
3463,small molecule,FALSE,Y,3.61,-4,250.3334,250.1568946,46.53,71.82,28.9,6,3,1,4.42,-4.8,-1,1,T
3476,small molecule,FALSE,Y,2.82,-4.1,490.616,490.2249909,124.68,129.8,53.86,6,5,3,4.32,-3.7,-1,3,T
3478,small molecule,FALSE,Y,1.83,-4.4,445.535,445.1783751,130.15,115.62,47.64,6,6,3,4.32,0.059,-1,3,T
3494,small molecule,TRUE,Y,-1.2,-5.6,318.4305,318.2069188,46.53,101.08,35.88,5,2,1,11.53,-4.3,1,3,T
3510,small molecule,FALSE,Y,2.64,-2.9,312.4094,312.1950114,50.16,101.83,35.39,2,3,1,14.75,9,1,4,T
3517,small molecule,FALSE,Y,2.25,-3.4,231.082,230.0126017,76.76,58.15,21.58,2,4,2,,6.82,0,1,T
3519,small molecule,TRUE,Y,2.28,-3.2,246.093,245.0122673,78.97,69.63,21.75,2,3,3,12.94,6.65,0,1,T
3559,small molecule,FALSE,Y,3.7,-4.9,375.864,375.1401349,40.54,102.59,39.15,6,3,1,13.96,8.05,1,3,T
3637,small molecule,TRUE,Y,0.66,-1.8,160.1759,160.0748963,63.83,50.23,16.06,1,4,2,17.69,6.4,0,2,T
3639,small molecule,FALSE,Y,-0.16,-2.1,297.739,296.9644748,118.36,63.11,25.35,1,5,3,9.09,-2.7,0,2,T
3657,small molecule,FALSE,Y,-1.8,0.55,76.0547,76.02727738,75.35,14.91,5.94,0,2,3,10.14,-4.9,0,0,T
3672,small molecule,FALSE,Y,3.5,-3.5,206.2808,206.1306798,37.3,60.73,23.76,4,2,1,4.85,,-1,1,T
3676,small molecule,FALSE,N,1.81,-2.6,234.3373,234.1732133,32.34,73.93,27.77,5,2,1,13.78,7.75,1,1,T
3690,small molecule,TRUE,Y,0.57,-1.2,261.086,260.0248197,41.57,58.48,23.94,5,2,1,13.24,0.12,0,1,T
3696,small molecule,TRUE,Y,4.53,-3.6,280.4073,280.1939488,6.48,90.61,33.39,4,2,0,,9.2,1,3,T
3702,small molecule,FALSE,Y,2.52,-4,365.835,365.0600898,92.5,103.31,36.34,3,4,2,8.85,0.097,0,3,T
3715,small molecule,FALSE,Y,4.25,-5.2,357.788,357.0767857,68.53,94.81,36.64,4,4,1,3.8,-2.3,-1,3,T
3749,small molecule,FALSE,Y,4.51,-4.7,428.5294,428.2324595,87.13,136.72,47.59,7,5,1,7.4,4.12,0,5,T
3759,small molecule,FALSE,Y,1.19,-3,231.2505,231.1007767,67.16,74.78,24.51,4,3,2,12.02,3.12,0,2,T
3763,small molecule,FALSE,Y,2.3,-1.7,184.492,183.9714334,9.23,23.04,9.73,3,1,0,,-4.7,0,0,T
3784,small molecule,FALSE,Y,3,-3.2,371.3871,371.1481208,103.55,100.08,37.39,6,5,1,,5.33,0,3,T
3825,small molecule,FALSE,Y,3.29,-4.1,254.2806,254.0942943,54.37,72.52,26.56,4,3,1,3.88,-7.5,-1,2,T
3826,small molecule,FALSE,Y,2.66,-2.7,255.2686,255.0895433,59.3,70.19,26.67,3,3,1,3.84,-7.8,-1,3,T
3869,small molecule,FALSE,Y,1.73,-4.8,328.4055,328.1786926,95.58,94.72,36.83,8,4,4,8.05,9.8,1,2,T
3878,small molecule,FALSE,Y,1.87,-2.7,256.091,255.0078507,90.71,66.62,23.1,1,5,2,14.98,5.87,0,2,T
3883,small molecule,FALSE,Y,2.84,-3.2,369.361,369.075882,67.87,87.61,34.59,6,4,1,9.35,4.16,0,3,T
3899,small molecule,TRUE,Y,2.52,-3.5,270.2073,270.0616122,55.13,64.16,23.11,3,2,1,10.41,-0.45,0,2,T
3902,small molecule,FALSE,Y,1.86,-3.5,285.3027,285.1014454,78.29,94.47,29.59,3,4,0,,2.17,0,3,T
3948,small molecule,FALSE,Y,0,-3.5,351.3479,351.1394479,72.88,90.11,34.8,3,6,2,5.64,8.7,0,3,T
3957,small molecule,FALSE,Y,4.8,-4.5,382.883,382.1448057,42.43,116.98,41.67,2,2,0,,4.33,0,4,T
3958,small molecule,FALSE,Y,2.98,-4.3,321.158,320.011933,61.69,82.7,30.33,1,3,2,10.61,-2.2,0,3,T
3961,small molecule,FALSE,Y,4.5,-5,422.911,422.1621871,92.51,131.85,44.86,8,5,2,7.4,4.12,0,4,T
3964,small molecule,FALSE,Y,3.18,-3.5,327.808,327.1138399,28.07,95.11,34.99,0,3,0,,7.18,1,4,T
3998,small molecule,FALSE,Y,-0.37,-1.6,186.232,186.0462983,86.18,46.69,18.24,2,3,2,10.27,9.24,1,1,T
4011,small molecule,FALSE,Y,4.89,-6.3,277.4033,277.1830497,12.03,99.3,33.57,4,1,1,,10.54,1,4,T
4054,small molecule,FALSE,Y,3.31,-3.6,179.3018,179.1673997,26.02,54.49,21.82,0,1,1,,10.7,1,3,T
4075,small molecule,TRUE,Y,0.75,-1.1,153.1354,153.0425931,83.55,40,14.26,1,4,3,2.02,5.87,-1,1,T
4086,small molecule,FALSE,Y,-0.32,-1.5,211.2576,211.1208434,72.72,58.4,23.12,4,4,4,8.84,9.7,1,1,T
4091,small molecule,FALSE,Y,-1.8,-2,129.1636,129.1014454,88.99,56.64,13.43,0,5,4,,12.33,2,0,T
4114,small molecule,TRUE,Y,2.1,-3.1,216.1895,216.0422587,48.67,56.85,20.98,1,2,0,,-3.5,0,3,T
4158,small molecule,TRUE,Y,1.47,-3.1,233.3062,233.1415789,38.33,66.73,26.21,4,2,1,,9.09,1,2,T
4168,small molecule,FALSE,Y,2.18,-3,299.796,299.1400547,67.59,83.52,32.7,7,4,2,14.49,9.04,1,1,T
4170,small molecule,FALSE,Y,3.21,-4,365.835,365.0600898,92.5,94.59,36.38,2,4,2,9.54,-1.6,0,3,T
4171,small molecule,FALSE,Y,1.8,-2.8,267.3639,267.1834437,50.72,76.7,31.9,9,4,2,14.09,9.67,1,1,T
4173,small molecule,TRUE,Y,-0.15,-1.5,171.154,171.0643912,83.87,41.22,15.82,3,4,1,15.44,3.09,0,1,T
4174,small molecule,FALSE,Y,2.09,-2.7,226.2738,226.1106131,42.85,65.94,23.98,3,3,0,,4.87,0,2,T
4178,small molecule,FALSE,Y,2.17,-2.5,179.2588,179.1310142,35.25,54.97,21.17,3,2,1,,9.52,1,1,T
4184,small molecule,FALSE,Y,3.52,-3.1,264.3648,264.1626487,6.48,84.5,30.76,0,2,0,,6.92,0,4,T
4189,small molecule,FALSE,Y,5.86,-5.7,416.129,413.9860239,27.05,103.07,39.54,6,2,0,,6.77,0,3,T
4192,small molecule,TRUE,Y,3.89,-4.5,325.767,325.0782033,30.18,99.43,32.7,1,2,0,,6.57,0,4,T
4195,small molecule,FALSE,Y,-0.49,-1.8,254.2823,254.1266571,93.81,66.22,26.65,6,5,3,13.77,8.14,1,1,T
4197,small molecule,FALSE,Y,1.04,-3,211.2194,211.0745619,65.78,61.14,21.46,1,3,1,7.54,4.82,0,2,T
4205,small molecule,FALSE,Y,2.9,-2.4,265.3529,265.1578976,19.37,82.66,30.35,0,3,0,,6.67,0,4,T
4211,small molecule,FALSE,Y,6.08,-7.5,320.041,317.9536611,0,79.97,29.93,3,0,0,,,0,2,T
4212,small molecule,FALSE,Y,0.91,-2.8,444.4809,444.2008846,163.18,123.53,48.49,12,10,8,9.78,9.08,2,3,T
4236,small molecule,FALSE,Y,1.75,-2.6,273.35,273.0823494,60.16,77.39,28.71,5,2,1,8.84,-4.4,0,2,T
4409,small molecule,TRUE,Y,3.41,-5.1,228.2863,228.1150298,26.3,68.43,26.17,4,2,0,19.59,-4.8,0,2,T
4436,small molecule,FALSE,Y,3.44,-3.7,210.2744,210.1156985,24.39,65.52,23.77,2,2,1,,10.19,1,3,T
4440,small molecule,FALSE,Y,2.16,-3.5,335.464,335.1667477,65.2,94.26,38,4,3,2,11.55,9.18,1,3,T
4449,small molecule,FALSE,N,3.71,-3.8,470.007,469.224453,51.62,132.38,51.85,10,5,0,,7.09,1,4,T
4456,small molecule,FALSE,Y,-1.6,-3.6,223.2915,223.1446529,29.54,75.28,25.08,3,1,0,,,1,1,T
4485,small molecule,FALSE,Y,2.49,-4.3,346.3346,346.1164863,110.45,92.16,33.85,6,5,1,,5.33,0,2,T
4493,small molecule,FALSE,Y,1.74,-4.9,317.2207,317.0623404,95.23,68.23,25.88,3,4,1,15.01,-4.4,0,2,T
4497,small molecule,FALSE,Y,3.41,-4.5,418.4403,418.1740012,119.68,112.38,43.17,10,6,1,,5.41,0,2,T
4499,small molecule,FALSE,Y,3.63,-4.8,388.4144,388.1634365,110.45,105.91,39.72,8,5,1,,5.32,0,2,T
4510,small molecule,FALSE,Y,1.25,-3,227.0865,227.0025788,165.15,40.6,15.56,8,9,0,,-5.6,0,0,T
4539,small molecule,FALSE,Y,-0.47,-2.5,319.3308,319.1332197,72.88,85.48,32.26,3,6,2,5.77,8.68,0,3,T
4543,small molecule,FALSE,Y,4.65,-5.5,263.3767,263.1673997,12.03,96.21,31.87,3,1,1,,10.47,1,3,T
4583,small molecule,FALSE,Y,-0.02,-2.4,361.3675,361.1437843,73.32,94.94,36.69,2,7,1,5.45,6.2,-1,4,T
4585,small molecule,FALSE,Y,3.61,-3.5,312.432,312.1408674,30.87,93.87,35.37,0,4,1,14.17,7.24,1,4,T
4594,small molecule,FALSE,Y,1.66,-3,345.416,345.1147122,77.1,93.66,37.45,5,5,1,9.29,4.77,0,3,T
4595,small molecule,FALSE,Y,2.56,-3.1,293.363,293.1528122,39.82,86.78,33.16,2,2,0,15.39,7.34,1,4,T
4634,small molecule,FALSE,Y,4.36,-4.5,357.4864,357.2303939,49.77,105.26,41.25,10,3,1,11.53,8.77,1,2,T
4679,small molecule,FALSE,Y,2.11,-2.9,383.37,383.0751331,86.33,90.05,35.17,7,6,1,9.15,3.55,0,3,T
4725,small molecule,FALSE,Y,-0.86,-1.5,253.2578,253.1174894,125.76,64.59,25.11,5,7,4,8.01,2.84,0,2,T
4735,small molecule,FALSE,Y,1.32,-4.2,340.4195,340.189926,118.2,120.53,38.85,10,6,4,,12.13,2,2,T
4740,small molecule,FALSE,Y,0.08,-1.7,278.307,278.1378905,75.51,73.52,29.27,5,4,0,19.64,-0.93,0,2,T
4775,small molecule,FALSE,N,2.29,-2.5,164.2011,164.0837296,37.3,46.57,17.99,4,2,1,4.81,,-1,1,T
4828,small molecule,FALSE,Y,2.17,-2.5,248.3208,248.1524779,57.28,71.46,28.27,6,3,3,14.09,9.67,1,2,T
4829,small molecule,FALSE,Y,3.17,-4.9,356.439,356.1194632,68.29,97.39,37.91,7,4,1,6.66,5.6,-1,3,T
4845,small molecule,FALSE,Y,0.38,-1.6,240.2988,240.1473925,85.61,64.74,26.31,5,5,4,8.79,9.59,1,1,T
4891,small molecule,TRUE,Y,2.42,-2.9,312.4061,312.183778,40.62,88.79,34.84,1,2,0,19.38,-0.22,0,4,T
4893,small molecule,FALSE,Y,1.93,-2.7,383.4011,383.1593542,106.95,104.5,40.49,4,7,1,,7.24,1,4,T
4915,small molecule,TRUE,Y,0.53,-3,221.2988,221.1528122,53.16,86.98,25.88,5,3,3,15.03,5.6,0,1,T
4932,small molecule,FALSE,Y,3.1,-4.7,341.444,341.1990937,58.56,100.21,39.75,11,4,2,14.09,9.63,1,2,T
4946,small molecule,FALSE,Y,3.03,-3.5,259.3434,259.1572289,41.49,76.83,29.98,6,3,2,14.09,9.67,1,2,T
4991,small molecule,FALSE,Y,-3.1,-2.3,181.2117,181.0977027,33.42,49.66,19.38,2,1,0,19.53,,1,1,T
4999,small molecule,FALSE,Y,4.76,-5.2,386.794,386.0267596,15.6,93.47,33.99,3,1,0,18.93,2.59,0,3,T
5002,small molecule,FALSE,Y,2.93,-4,383.507,383.1667477,48.3,114.09,42.78,5,5,1,15.12,7.06,1,4,T
5029,small molecule,FALSE,Y,2.04,-3,359.443,359.1303622,77.1,98.07,39.64,8,5,1,9.35,4.24,0,3,T
5035,small molecule,TRUE,Y,5.45,-6,473.583,473.166079,70,135.48,52.55,7,5,2,8.89,7.95,1,5,T
5070,small molecule,TRUE,Y,2.83,-3.8,234.198,234.0074681,48.14,44.37,18.59,2,3,1,16.44,4.57,0,2,T
5071,small molecule,FALSE,Y,3.28,-4.3,179.3018,179.1673997,26.02,54.52,21.79,1,1,1,,10.14,1,3,T
5073,small molecule,FALSE,Y,3.27,-3.4,410.4845,410.2118043,61.94,114.55,45.27,4,4,0,,8.76,1,5,T
5078,small molecule,FALSE,Y,1.67,-2.9,269.3449,269.1640456,49.74,93.13,30,5,3,1,17.24,9.56,1,3,T
5090,small molecule,FALSE,N,2.32,-4.5,314.356,314.0612796,60.44,84.08,31.74,3,3,0,14.84,-7,0,3,T
5095,small molecule,TRUE,Y,3.16,-2.9,260.3746,260.1888634,32.34,81.43,31.19,7,2,1,13.24,10.17,1,2,T
5152,small molecule,FALSE,Y,3.82,-5.3,415.5656,415.2722587,81.95,122.39,50.6,16,5,4,10.12,9.4,1,2,T
5206,small molecule,FALSE,Y,2.44,-2.1,200.0548,200.0072122,9.23,23.3,9.83,4,1,0,15.07,-4.5,0,0,T
5210,small molecule,FALSE,N,5.05,-5.5,279.848,279.1753775,3.24,83.92,32.9,5,1,0,,9.77,1,2,T
5212,small molecule,TRUE,Y,2.35,-3,474.576,474.2049242,109.13,139.44,51.18,6,8,1,7.27,5.97,0,4,T
5245,small molecule,TRUE,Y,-0.75,-1.4,283.1123,283.0010747,148.18,57.12,21.91,4,8,5,0.68,4.91,-2,1,T
5253,small molecule,FALSE,Y,0.85,-2.5,272.364,272.1194632,78.43,71.12,29.34,5,4,3,10.07,9.43,1,1,T
5291,small molecule,TRUE,Y,3.47,-4.5,493.6027,493.2590086,86.28,148.93,55.54,7,7,2,12.45,8.27,1,5,T
5358,small molecule,FALSE,Y,1.17,-3.4,295.4,295.1354476,65.2,82.08,32.31,5,3,2,11.24,9.54,1,2,T
5379,small molecule,FALSE,Y,-0.23,-2.8,375.3941,375.1594344,82.11,98.82,38.29,4,7,2,5.69,8.73,0,4,T
5381,small molecule,FALSE,Y,5.15,-5.7,351.462,351.1292996,39.19,97.88,40.31,5,2,0,,1.23,0,3,T
5391,small molecule,FALSE,Y,2.16,-3.8,300.74,300.0665554,52.9,81.01,30.32,1,3,1,10.68,-1.4,0,3,T
5394,small molecule,TRUE,Y,-1,-1.6,194.1508,194.0552235,105.94,47.86,16.88,1,5,1,10.51,-3.6,0,2,T
5401,small molecule,FALSE,Y,1.12,-2.4,387.4329,387.1906543,103.04,105.18,41.26,4,8,1,19.93,7.24,1,4,T
5403,small molecule,FALSE,Y,0.55,-1.6,225.2842,225.1364935,72.72,63.04,24.78,4,4,4,8.86,9.76,1,1,T
5426,small molecule,TRUE,N,0.42,-2,258.2295,258.0640568,83.55,64.32,24.42,1,4,1,11.59,-6.4,0,3,T
5452,small molecule,FALSE,Y,5.93,-5.6,370.575,370.1537402,6.48,113.52,43.26,4,2,0,,8.93,1,4,T
5453,small molecule,TRUE,Y,0.17,-1.3,189.218,189.0489546,9.03,50.72,18.3,3,3,0,,-0.3,0,3,T
5468,small molecule,FALSE,Y,3.22,-3.9,260.308,260.0507149,54.37,69.19,26.78,4,3,1,4.03,-7.8,-1,2,T
5479,small molecule,FALSE,Y,-0.41,-1.9,247.272,247.0626766,97.78,57.66,23.27,5,5,0,,3.1,0,1,T
5487,small molecule,FALSE,Y,1.6,-3.3,253.711,253.0188937,62.2,64.77,23.97,1,5,2,,7.49,1,3,T
5526,small molecule,TRUE,Y,-1.4,-0.94,157.2102,157.1102787,63.32,41.9,17.28,2,3,2,4.56,10.22,0,1,T
5533,small molecule,FALSE,Y,2.68,-3.1,371.864,371.1512881,42.39,105.88,40.12,5,4,0,,7.09,1,4,T
5556,small molecule,FALSE,Y,2.94,-4.3,343.21,342.0439018,43.07,103.68,34.19,1,3,0,18.08,4.32,0,4,T
5578,small molecule,FALSE,Y,1.26,-2.7,290.3177,290.1378905,105.51,81.51,29.71,5,7,2,17.33,7.16,1,2,T
5591,small molecule,FALSE,N,4.16,-5.6,441.54,441.1609937,84.86,120.99,47.08,5,5,2,6.61,-4.6,-1,4,T
5596,small molecule,FALSE,Y,2.86,-6.8,392.5106,392.2225688,46.53,124.04,43.18,5,2,1,11.05,-4.5,1,5,T
5656,small molecule,FALSE,Y,2.69,-3.1,277.4018,277.2041791,32.7,83.02,32.33,5,3,1,14.42,8.91,1,2,T
5665,small molecule,FALSE,Y,-2.6,-0.13,129.157,129.0789786,63.32,34.29,13.64,4,3,2,4.61,9.91,0,0,T
5717,small molecule,FALSE,Y,4.84,-5.8,575.675,575.2090065,115.73,158.58,62.06,8,6,2,4.29,-1.1,-1,5,T
5719,small molecule,FALSE,Y,2,-3.9,305.3339,305.1276601,74.29,97.24,32.09,3,4,0,,0.3,0,3,T
5732,small molecule,FALSE,Y,3.15,-4,307.3895,307.1684623,37.61,93.58,35.06,3,2,0,,5.65,0,3,T
5734,small molecule,FALSE,Y,0.67,-2,212.226,212.0255628,86.19,50.3,19.48,2,3,1,9.84,-1.8,0,2,T
5743,small molecule,TRUE,Y,1.93,-3.9,392.4611,392.1999022,94.83,102.49,40.83,2,5,3,12.42,-3.3,0,4,T
5746,small molecule,TRUE,Y,-0.55,-1.5,334.3272,334.1277197,146.89,83.27,32.77,4,7,3,-0.3,6.8,0,4,T
5754,small molecule,FALSE,N,1.79,-3.3,362.4599,362.2093241,94.83,97.4,39.55,2,5,3,12.58,-2.8,0,4,T
