2370,CHRM2
2370,CHRM2
2375,AR
2375,AR
2405,ADRB1
2405,ADRB2
2405,ADRB2
2435,ADRA2A
2435,ADRA2A
2435,ADRA2B
2435,ADRA2C
2441,GABRA1
2441,GABRA2
2441,GABRA3
2441,GABRA4
2441,GABRA5
2441,GABRA6
2441,GABRB1
2441,GABRB2
2441,GABRB3
2441,GABRD
2441,GABRE
2441,GABRG1
2441,GABRG2
2441,GABRG3
2441,GABRP
2441,GABRQ
2441,GABRR1
2441,GABRR2
2441,GABRR3
2441,GABRR3
2471,CFTR
2471,CFTR
2471,SLC12A1
2471,SLC12A2
2471,SLC12A4
2471,SLC12A5
2474,PTGER1
2474,PTGER1
2474,SCN10A
2477,DRD2
2477,HTR1A
2477,HTR1A
2519,ADORA1
2519,ADORA2A
2519,ATM
2519,ITPR1
2519,ITPR2
2519,ITPR3
2519,PDE10A
2519,PDE11A
2519,PDE1A
2519,PDE1B
2519,PDE1C
2519,PDE2A
2519,PDE3A
2519,PDE3B
2519,PDE4A
2519,PDE4B
2519,PDE4B
2519,PDE4C
2519,PDE4D
2519,PDE5A
2519,PDE6A
2519,PDE6B
2519,PDE6C
2519,PDE7A
2519,PDE7B
2519,PDE8A
2519,PDE8B
2519,PDE9A
2519,PIK3CA
2519,PIK3CB
2519,PIK3CD
2519,PIK3CD
2519,PRKDC
2519,RYR1
2520,CACNA1A
2520,CACNA1B
2520,CACNA1C
2520,CACNA1D
2520,CACNA1F
2520,CACNA1G
2520,CACNA1I
2520,CACNA1S
2520,CACNB1
2520,CACNB2
2520,CACNB3
2520,CACNB4
2520,CACNB4
2520,KCNH2
2520,KCNJ11
2520,SCN5A
2520,SLC6A4
2541,AGTR1
2541,AGTR1
2554,SCN5A
2554,SCN5A
2578,GSR
2578,GSR
2585,ADRA1A
2585,ADRA1B
2585,ADRA1D
2585,ADRA2A
2585,ADRA2B
2585,ADRA2C
2585,ADRB1
2585,ADRB2
2585,GJA1
2585,HIF1A
2585,KCNH2
2585,NDUFC2
2585,NDUFC2
2585,NPPB
2585,SELE
2585,VCAM1
2585,VEGFA
2662,PDPK1
2662,PDPK1
2662,PTGS2
2678,HRH1
2678,HRH1
2732,SLC12A1
2732,SLC12A1
2749,ATP1A1
2749,ATP1A1
2754,PDE3A
2754,PDE3A
2756,HRH2
2756,HRH2
2764,gyrA
2764,gyrA
2764,gyrA
2764,gyrA
2764,KCNH2
